,Architecture,Cost,Energy,Error,Iteration,Method,SD,Total_Cost,Unnamed: 0,Volume
82,Deepspeech,5.2,0.147449337152,0.287718256757,82,FlexiBO+RF-Ratio,0.0231390890795,78.0,82.0,0.394760853744
83,Deepspeech,0.0,0.246955979089,0.347197683541,83,FlexiBO+RF-Ratio,0.0487841833316,78.0,83.0,0.362685659599
84,Deepspeech,0.0,0.206926467091,0.286836119077,84,FlexiBO+RF-Ratio,0.0487808169929,78.0,84.0,0.362685659599
85,Deepspeech,5.2,0.260505945393,0.336049311133,85,FlexiBO+RF-Ratio,0.00602361268913,83.2,85.0,0.362685659599
86,Deepspeech,0.0,0.303639972666,0.305007236352,86,FlexiBO+RF-Ratio,0.0256575748421,83.2,86.0,0.362685659599
87,Deepspeech,0.0,0.232822820271,0.281953997195,87,FlexiBO+RF-Ratio,0.0383157236604,83.2,87.0,0.362685659599
88,Deepspeech,0.0,0.223111088706,0.316384141445,88,FlexiBO+RF-Ratio,0.0189341215609,83.2,88.0,0.362685659599
89,Deepspeech,0.0,0.224434978467,0.3024964178,89,FlexiBO+RF-Ratio,0.0465142925274,83.2,89.0,0.362685659599
90,Deepspeech,5.2,0.225484810575,0.275847820274,90,FlexiBO+RF-Ratio,0.01639260699,88.4,90.0,0.362685659599
91,Deepspeech,0.0,0.294970055629,0.306000509503,91,FlexiBO+RF-Ratio,0.03576695945,88.4,91.0,0.362685659599
92,Deepspeech,0.0,0.234313583959,0.412465729207,92,FlexiBO+RF-Ratio,0.00863222659435,88.4,92.0,0.362685659599
93,Deepspeech,0.0,0.162681971428,0.27691446929,93,FlexiBO+RF-Ratio,0.00548095708008,88.4,93.0,0.362685659599
94,Deepspeech,0.0,0.262793700439,0.286783135422,94,FlexiBO+RF-Ratio,0.0220076616848,88.4,94.0,0.362182221628
95,Deepspeech,5.2,0.326081937178,0.282734444786,95,FlexiBO+RF-Ratio,0.0104223779126,93.6,95.0,0.362182221628
96,Deepspeech,5.2,0.197713476048,0.385941697842,96,FlexiBO+RF-Ratio,0.00233307631556,98.8,96.0,0.362182221628
97,Deepspeech,5.2,0.25220757823,0.367777333979,97,FlexiBO+RF-Ratio,0.019303949101,104.0,97.0,0.362182221628
98,Deepspeech,0.0,0.371309419734,0.284890322469,98,FlexiBO+RF-Ratio,0.0191003574325,104.0,98.0,0.362182221628
99,Deepspeech,0.0,0.200873074787,0.297283596456,99,FlexiBO+RF-Ratio,0.015588814035,104.0,99.0,0.362182221628
100,Deepspeech,5.2,0.263847513319,0.29757913702,100,FlexiBO+RF-Ratio,0.0135021173015,109.2,100.0,0.362182221628
101,Deepspeech,0.0,0.20301560394,0.271532480986,101,FlexiBO+RF-Ratio,0.0165745032308,109.2,101.0,0.362182221628
102,Deepspeech,5.2,0.208570595055,0.399065078392,102,FlexiBO+RF-Ratio,0.0372250739272,114.4,102.0,0.362128795855
103,Deepspeech,0.0,0.226120152897,0.382415022827,103,FlexiBO+RF-Ratio,0.0151092223296,114.4,103.0,0.362128795855
104,Deepspeech,0.0,0.204705373929,0.30256057306,104,FlexiBO+RF-Ratio,0.0361473276458,114.4,104.0,0.362128795855
105,Deepspeech,0.0,0.335592520427,0.293430769035,105,FlexiBO+RF-Ratio,0.015846810793,114.4,105.0,0.362128795855
106,Deepspeech,0.0,0.25061038088,0.423389652555,106,FlexiBO+RF-Ratio,0.00474120519955,114.4,106.0,0.362128795855
107,Deepspeech,0.0,0.302143322168,0.326844153491,107,FlexiBO+RF-Ratio,0.0127305012283,114.4,107.0,0.362128795855
108,Deepspeech,5.2,0.328500349118,0.305549525119,108,FlexiBO+RF-Ratio,0.0326483108924,119.6,108.0,0.362128795855
109,Deepspeech,5.2,0.218646943882,0.265878677401,109,FlexiBO+RF-Ratio,0.0261943180423,124.8,109.0,0.362128795855
110,Deepspeech,5.2,0.261604617704,0.29461676756,110,FlexiBO+RF-Ratio,0.0253733789726,130.0,110.0,0.362104361532
111,Deepspeech,5.2,0.223371017563,0.317649818097,111,FlexiBO+RF-Ratio,0.0416140427197,135.2,111.0,0.362104361532
112,Deepspeech,0.0,0.235202688273,0.347563359745,112,FlexiBO+RF-Ratio,0.0361322127256,135.2,112.0,0.362104361532
113,Deepspeech,0.0,0.183429733625,0.274038092651,113,FlexiBO+RF-Ratio,0.0038758924589,135.2,113.0,0.362104361532
