,Energy,Error,Method,Architecture
60,0.217236492307595,0.275183085927978,Ratio-FlexiBO+GP,DeepSpeech
61,0.180629646810108,0.286299384355558,Ratio-FlexiBO+GP,DeepSpeech
62,0.080769480778829,0.295850511506825,Ratio-FlexiBO+GP,DeepSpeech
63,0.26175326229743,0.248462868961011,Ratio-FlexiBO+RF,DeepSpeech
64,0.230332923605815,0.263106557377836,Ratio-FlexiBO+RF,DeepSpeech
65,0.218646943881945,0.265878677401424,Ratio-FlexiBO+RF,DeepSpeech
66,0.212942376383048,0.266445515940343,Ratio-FlexiBO+RF,DeepSpeech
67,0.203015603939983,0.271532480985853,Ratio-FlexiBO+RF,DeepSpeech
68,0.183429733624692,0.27403809265082,Ratio-FlexiBO+RF,DeepSpeech
69,0.162681971428443,0.276914469289613,Ratio-FlexiBO+RF,DeepSpeech
70,0.158251339201286,0.281242798203761,Ratio-FlexiBO+RF,DeepSpeech
71,0.147449337151908,0.287718256757195,Ratio-FlexiBO+RF,DeepSpeech
72,0.142545511961503,0.299038862247289,Ratio-FlexiBO+RF,DeepSpeech
72,0.366304850502,0.185831464087,PESMO-DEC,DeepSpeech
72,0.339361662726,0.200577785517,PESMO-DEC,DeepSpeech
72,0.310628101534,0.222869334375,PESMO-DEC,DeepSpeech
72,0.304066132567,0.238551998791,PESMO-DEC,DeepSpeech
72,0.220324648261,0.289967200014,PESMO-DEC,DeepSpeech
72,0.216287490657,0.301247198774,PESMO-DEC,DeepSpeech
72,0.202954010323,0.314593722599,PESMO-DEC,DeepSpeech
72,0.161157449185,0.335114209412,PESMO-DEC,DeepSpeech
72,0.159058026653,0.348305143527,PESMO-DEC,DeepSpeech
72,0.146157591489,0.348322990114,PESMO-DEC,DeepSpeech
72,0.348974952021,0.228645675239,CA-MOBO,DeepSpeech
72,0.319015689449,0.255045494799,CA-MOBO,DeepSpeech
72,0.317787575125,0.268026226256,CA-MOBO,DeepSpeech
72,0.307904616437,0.268057030178,CA-MOBO,DeepSpeech
72,0.25230672629,0.322826995907,CA-MOBO,DeepSpeech
72,0.244706276588,0.350067542657,CA-MOBO,DeepSpeech
72,0.187889593686,0.362678286705,CA-MOBO,DeepSpeech
